ml,sensor,pot,sensor1_raw,sensor1_voltage,sensor2_raw,sensor2_voltage
75,A,5,895,894,842,841
60,A,2,1010,1009,889,888
45,A,4,1032,1031,1106,1105
30,A,1,1466,1465,1139,1138
15,A,3,1588,1587,1390,1389
0,A,0,2310,2306,2245,2243
-1,A,empty,2397,2394,2353,2349
75,B,5,1046,1058,890,902
60,B,2,1051,1064,938,949
45,B,4,1208,1223,1080,1093
30,B,1,1634,1653,1351,1367
15,B,3,1577,1597,1457,1474
0,B,0,2446,2473,2296,2322
-1,B,empty,2538,2567,2395,2423
75,C,5,1047,980,1043,977
60,C,2,1135,1051,1269,1158
45,C,4,1312,1192,1353,1225
30,C,1,1676,1484,1603,1425
15,C,3,1875,1643,1880,1647
0,C,0,3027,2548,2956,2496
-1,C,empty,3121,2612,3105,2602
