start_utc,end_utc,reseating,pot_number,pot_water_volume
2026-02-18T18:02:11Z,2026-02-18T18:24:08Z,0,0,0
2026-02-18T18:30:23Z,2026-02-18T18:55:35Z,1,0,0
2026-02-18T19:02:23Z,2026-02-18T19:30:35Z,2,0,0
2026-02-18T19:36:47Z,2026-02-18T20:02:01Z,3,0,0
2026-02-18T20:14:00Z,2026-02-18T20:39:01Z,4,0,0
2026-02-18T21:33:00Z,2026-02-18T21:55:01Z,5,0,0
2026-02-18T22:09:00Z,2026-02-18T22:34:01Z,6,0,0
2026-02-18T22:44:00Z,2026-02-18T23:09:01Z,7,0,0
2026-02-19T09:27:00Z,2026-02-19T09:27:01Z,8,1,10
2026-02-19T09:55:00Z,2026-02-19T10:20:01Z,9,1,10
2026-02-19T10:43:00Z,2026-02-19T10:58:01Z,10,1,10
2026-02-19T11:14:00Z,2026-02-19T11:30:01Z,11,1,10
2026-02-19T11:42:00Z,2026-02-19T12:14:01Z,12,1,10
2026-02-19T12:23:00Z,2026-02-19T12:48:01Z,13,1,10
2026-02-19T13:04:00Z,2026-02-19T13:51:01Z,14,1,10
2026-02-19T14:01:00Z,2026-02-19T14:20:01Z,15,1,10
