time_water,time_equil,trial,pot_water_volume
2026-02-21T09:20:00,2026-02-21T09:26:28,1,0
2026-02-21T09:20:00,2026-02-21T13:51:18,1,10
2026-02-21T14:00:00,2026-02-21T20:53:18,1,20
2026-02-21T21:12:00,2026-02-21T23:00:18,1,30
2026-02-22T10:36:00,2026-02-22T11:01:00,1,40
2026-02-22T16:56:00,2026-02-22T18:09:00,1,50
2026-02-22T18:21:00,2026-02-22T19:29:00,1,60
2026-02-23T12:30:00,2026-02-23T12:36:00,2,0
NA,2026-02-23T19:11:00,2,10
2026-02-23T19:22:00,2026-02-23T23:59:00,2,20
2026-02-24T00:11:00,2026-02-24T05:14:00,2,30
2026-02-24T10:32:00,2026-02-24T11:22:00,2,40
2026-02-24T11:38:00,2026-02-24T12:35:00,2,50
2026-02-24T12:48:00,2026-02-24T14:44:00,2,60
2026-02-24T16:06:00,2026-02-24T16:47:00,2,70
2026-02-24T17:03:00,2026-02-24T17:44:00,2,80
2026-02-24T19:15:00,2026-02-24T19:47:00,3,0
2026-02-24T20:57:00,2026-02-25T07:43:00,3,15
2026-02-25T08:03:00,2026-02-25T12:59:00,3,30
2026-02-25T13:12:00,2026-02-25T15:08:00,3,45
2026-02-25T15:25:00,2026-02-25T16:43:00,3,60
2026-02-25T16:52:00,2026-02-25T18:05:00,3,75
2026-02-25T18:18:00,2026-02-25T18:31:00,4,0
2026-02-25T18:37:00,2026-02-25T21:49:00,4,5
2026-02-25T22:13:00,2026-02-26T08:13:00,4,15
2026-02-26T08:35:00,2026-02-26T12:43:00,4,25
2026-02-26T12:54:00,2026-02-26T13:14:00,5,0
2026-02-26T13:21:00,2026-02-26T20:13:00,5,5
2026-02-26T20:28:00,2026-02-27T08:30:00,5,10
2026-02-27T08:34:00,2026-02-27T17:33:54,5,15
